,STATION,DAY,Entered,Exited,IMPRESSIONS
153,161/YANKEE STAD,16,25526.0,12778.0,38304.0
154,163 ST-AMSTERDM,10,2844.0,857.0,3701.0
155,163 ST-AMSTERDM,11,2619.0,1032.0,3651.0
156,163 ST-AMSTERDM,12,4261.0,1165.0,5426.0
157,163 ST-AMSTERDM,13,4694.0,1348.0,6042.0
158,163 ST-AMSTERDM,14,4734.0,1251.0,5985.0
159,163 ST-AMSTERDM,15,4785.0,1148.0,5933.0
160,163 ST-AMSTERDM,16,4846.0,1286.0,6132.0
161,167 ST,10,12417.0,7691.0,20108.0
162,167 ST,11,10983.0,8154.0,19137.0
163,167 ST,12,18762.0,12331.0,31093.0
164,167 ST,13,21389.0,14513.0,35902.0
165,167 ST,14,21522.0,14708.0,36230.0
166,167 ST,15,21717.0,14562.0,36279.0
167,167 ST,16,21451.0,14667.0,36118.0
168,168 ST,10,12327.0,8180.0,20507.0
169,168 ST,11,11252.0,9232.0,20484.0
170,168 ST,12,24225.0,19437.0,43662.0
171,168 ST,13,27219.0,21643.0,48862.0
172,168 ST,14,27252.0,21457.0,48709.0
173,168 ST,15,27559.0,21290.0,48849.0
174,168 ST,16,26814.0,20694.0,47508.0
175,169 ST,10,4932.0,4601.0,9533.0
176,169 ST,11,4155.0,4105.0,8260.0
177,169 ST,12,8001.0,6668.0,14669.0
178,169 ST,13,9749.0,7862.0,17611.0
179,169 ST,14,9694.0,7972.0,17666.0
180,169 ST,15,9995.0,8116.0,18111.0
181,169 ST,16,9888.0,7907.0,17795.0
182,170 ST,10,10254.0,5967.0,16221.0
183,170 ST,11,8921.0,6258.0,15179.0
184,170 ST,12,15102.0,9290.0,24392.0
185,170 ST,13,17411.0,10825.0,28236.0
186,170 ST,14,17695.0,10886.0,28581.0
187,170 ST,15,17677.0,10567.0,28244.0
188,170 ST,16,17864.0,10607.0,28471.0
189,174 ST,10,4381.0,3320.0,7701.0
190,174 ST,11,4027.0,3509.0,7536.0
191,174 ST,12,6902.0,5464.0,12366.0
192,174 ST,13,8147.0,6494.0,14641.0
193,174 ST,14,8038.0,6326.0,14364.0
194,174 ST,15,8159.0,6485.0,14644.0
195,174 ST,16,8294.0,6486.0,14780.0
196,174-175 STS,10,3266.0,949.0,4215.0
197,174-175 STS,11,2871.0,1055.0,3926.0
198,174-175 STS,12,5165.0,1761.0,6926.0
199,174-175 STS,13,5634.0,1989.0,7623.0
200,174-175 STS,14,5728.0,1942.0,7670.0
201,174-175 STS,15,5852.0,1942.0,7794.0
202,174-175 STS,16,5894.0,2024.0,7918.0
203,175 ST,10,6919.0,3585.0,10504.0
204,175 ST,11,6537.0,3900.0,10437.0
205,175 ST,12,13250.0,6787.0,20037.0
206,175 ST,13,14061.0,7269.0,21330.0
207,175 ST,14,13909.0,7714.0,21623.0
208,175 ST,15,14194.0,7640.0,21834.0
209,175 ST,16,13984.0,7652.0,21636.0
210,176 ST,10,3818.0,1968.0,5786.0
211,176 ST,11,3435.0,2238.0,5673.0
212,176 ST,12,6090.0,3099.0,9189.0
213,176 ST,13,6783.0,3350.0,10133.0
214,176 ST,14,6814.0,3442.0,10256.0
215,176 ST,15,7058.0,3378.0,10436.0
216,176 ST,16,6836.0,3532.0,10368.0
217,18 AV,10,6977.0,7644.0,14621.0
218,18 AV,11,6755.0,8863.0,15618.0
219,18 AV,12,12628.0,9036.0,21664.0
220,18 AV,13,13799.0,9686.0,23485.0
221,18 AV,14,13815.0,9647.0,23462.0
222,18 AV,15,13897.0,9661.0,23558.0
223,18 AV,16,13488.0,9311.0,22799.0
224,18 ST,10,3163.0,2444.0,5607.0
225,18 ST,11,3090.0,2091.0,5181.0
